Rank	4gram	NumberOfTimes
<<<<<<< HEAD
0	(u'section', u'of', u'this', u'title')	50484
1	(u'of', u'the', u'united', u'states')	34079
2	(u'is', u'referred', u'to', u'in')	25803
3	(u'to', u'in', u'other', u'sections')	23466
4	(u'section', u'is', u'referred', u'to')	23318
5	(u'this', u'section', u'is', u'referred')	23204
6	(u'referred', u'to', u'in', u'other')	23114
7	(u'in', u'other', u'sections', u'this')	22884
8	(u'section', u'referred', u'to', u'in')	22161
9	(u'sections', u'this', u'section', u'is')	22031
10	(u'other', u'sections', u'this', u'section')	20769
11	(u'under', u'section', u'of', u'this')	19765
12	(u'the', u'secretary', u'of', u'the')	16593
13	(u'note', u'under', u'section', u'of')	15799
14	(u'ad', u'val', u'ad', u'val')	15529
15	(u'referred', u'to', u'in', u'sections')	13408
16	(u'in', u'the', u'case', u'of')	13381
17	(u'val', u'ad', u'val', u'ad')	12413
18	(u'in', u'section', u'of', u'this')	10841
19	(u'referred', u'to', u'in', u'section')	10685
20	(u'of', u'this', u'title', u'section')	9621
21	(u'of', u'this', u'title', u'and')	8790
22	(u'the', u'provisions', u'of', u'this')	8778
23	(u'sections', u'of', u'this', u'title')	7926
24	(u'to', u'in', u'section', u'of')	7812
25	(u'for', u'the', u'purpose', u'of')	7446
26	(u'to', u'in', u'sections', u'of')	7294
27	(u'title', u'section', u'referred', u'to')	7069
28	(u'in', u'sections', u'of', u'this')	7061
29	(u'this', u'title', u'section', u'referred')	6833
30	(u'effective', u'date', u'of', u'amendment')	6814
31	(u'see', u'section', u'of', u'this')	6757
32	(u'secretary', u'of', u'the', u'treasury')	6751
33	(u'see', u'section', u'of', u'pub')	6572
34	(u'fiscal', u'year', u'ending', u'june')	6472
35	(u'secretary', u'of', u'the', u'interior')	6363
36	(u'by', u'the', u'secretary', u'of')	6304
37	(u'for', u'the', u'fiscal', u'year')	6250
38	(u'the', u'fiscal', u'year', u'ending')	5960
39	(u'of', u'this', u'title', u'shall')	5903
40	(u'the', u'district', u'of', u'columbia')	5765
41	(u'stat', u'references', u'in', u'text')	5725
42	(u'the', u'purposes', u'of', u'this')	5713
43	(u'and', u'of', u'this', u'title')	5712
44	(u'to', u'the', u'secretary', u'of')	5370
45	(u'the', u'public', u'health', u'and')	5262
46	(u'public', u'health', u'and', u'welfare')	5178
47	(u'date', u'of', u'amendment', u'amendment')	5151
48	(u'stat', u'section', u'referred', u'to')	5071
49	(u'the', u'united', u'states', u'or')	5035
50	(u'title', u'the', u'public', u'health')	5027
51	(u'the', u'united', u'states', u'and')	4973
52	(u'for', u'the', u'purposes', u'of')	4960
53	(u'with', u'respect', u'to', u'the')	4941
54	(u'this', u'section', u'shall', u'be')	4875
55	(u'in', u'accordance', u'with', u'the')	4759
56	(u'of', u'this', u'title', u'the')	4681
57	(u'of', u'this', u'section', u'shall')	4612
58	(u'of', u'the', u'secretary', u'of')	4595
59	(u'to', u'carry', u'out', u'the')	4437
60	(u'per', u'centum', u'of', u'the')	4414
61	(u'referred', u'to', u'in', u'subsec')	4372
62	(u'title', u'government', u'organization', u'and')	4267
63	(u'in', u'the', u'united', u'states')	4255
64	(u'per', u'lb', u'ad', u'val')	4116
65	(u'of', u'health', u'education', u'and')	4106
66	(u'under', u'section', u'of', u'title')	4103
67	(u'sections', u'and', u'of', u'this')	4072
68	(u'by', u'the', u'united', u'states')	4053
69	(u'of', u'the', u'department', u'of')	4034
70	(u'health', u'education', u'and', u'welfare')	4015
71	(u'as', u'may', u'be', u'necessary')	4005
72	(u'government', u'organization', u'and', u'employees')	3974
73	(u'set', u'out', u'in', u'the')	3884
74	(u'for', u'purposes', u'of', u'this')	3882
75	(u'from', u'time', u'to', u'time')	3865
76	(u'on', u'the', u'basis', u'of')	3849
77	(u'the', u'provisions', u'of', u'section')	3839
78	(u'to', u'the', u'united', u'states')	3828
79	(u'to', u'the', u'provisions', u'of')	3811
80	(u'authorized', u'to', u'be', u'appropriated')	3789
81	(u'of', u'section', u'of', u'this')	3762
82	(u'ad', u'val', u'per', u'lb')	3531
83	(u'in', u'the', u'appendix', u'to')	3475
84	(u'out', u'in', u'the', u'appendix')	3468
85	(u'the', u'appendix', u'to', u'title')	3448
86	(u'at', u'the', u'time', u'of')	3399
87	(u'the', u'department', u'of', u'the')	3338
88	(u'with', u'respect', u'to', u'any')	3313
89	(u'with', u'the', u'provisions', u'of')	3308
90	(u'effective', u'date', u'section', u'effective')	3300
91	(u'under', u'the', u'provisions', u'of')	3274
92	(u'is', u'now', u'covered', u'by')	3270
93	(u'of', u'this', u'title', u'or')	3264
94	(u'provisions', u'of', u'this', u'section')	3224
95	(u'of', u'this', u'section', u'and')	3221
96	(u'amendment', u'amendment', u'by', u'pub')	3151
97	(u'by', u'section', u'of', u'this')	3142
98	(u'the', u'effective', u'date', u'of')	3127
99	(u'the', u'secretary', u'or', u'his')	3126
100	(u'of', u'this', u'section', u'the')	3110
101	(u'of', u'amendment', u'amendment', u'by')	3090
102	(u'of', u'this', u'title', u'for')	3077
103	(u'per', u'lb', u'per', u'lb')	3043
104	(u'the', u'date', u'of', u'the')	3011
105	(u'after', u'the', u'date', u'of')	2997
106	(u'the', u'director', u'of', u'the')	2985
107	(u'act', u'referred', u'to', u'in')	2930
108	(u'now', u'covered', u'by', u'section')	2890
109	(u'to', u'of', u'this', u'title')	2880
110	(u'shall', u'be', u'deemed', u'to')	2864
111	(u'secretary', u'of', u'health', u'education')	2859
112	(u'referred', u'to', u'in', u'the')	2840
113	(u'this', u'title', u'shall', u'be')	2828
114	(u'of', u'this', u'title', u'title')	2811
115	(u'see', u'section', u'of', u'title')	2802
116	(u'referred', u'to', u'in', u'title')	2795
117	(u'secretary', u'or', u'his', u'delegate')	2784
118	(u'enactment', u'of', u'this', u'act')	2757
119	(u'provisions', u'of', u'this', u'chapter')	2731
120	(u'the', u'bureau', u'of', u'the')	2729
121	(u'stat', u'june', u'ch', u'stat')	2701
122	(u'ch', u'stat', u'june', u'ch')	2697
123	(u'act', u'of', u'as', u'amended')	2685
124	(u'the', u'secretary', u'of', u'commerce')	2680
125	(u'stat', u'set', u'out', u'in')	2671
126	(u'with', u'respect', u'to', u'such')	2659
127	(u'the', u'amount', u'of', u'the')	2629
128	(u'appendix', u'to', u'title', u'government')	2621
129	(u'bureau', u'of', u'the', u'budget')	2612
130	(u'the', u'secretary', u'of', u'agriculture')	2574
131	(u'val', u'per', u'lb', u'ad')	2567
132	(u'historical', u'and', u'revision', u'notes')	2555
133	(u'stat', u'effective', u'date', u'section')	2553
134	(u'to', u'section', u'of', u'this')	2552
135	(u'and', u'is', u'now', u'covered')	2534
136	(u'prescribed', u'by', u'the', u'secretary')	2533
137	(u'as', u'defined', u'in', u'section')	2532
138	(u'the', u'united', u'states', u'in')	2528
139	(u'to', u'title', u'government', u'organization')	2497
140	(u'may', u'be', u'necessary', u'to')	2485
141	(u'stat', u'historical', u'and', u'revision')	2476
142	(u'purposes', u'of', u'this', u'section')	2464
143	(u'shall', u'be', u'subject', u'to')	2462
144	(u'covered', u'by', u'section', u'of')	2461
145	(u'sections', u'to', u'of', u'this')	2440
146	(u'sections', u'and', u'of', u'title')	2412
147	(u'were', u'transferred', u'to', u'the')	2374
148	(u'office', u'of', u'management', u'and')	2352
149	(u'pollution', u'prevention', u'and', u'control')	2347
150	(u'title', u'internal', u'revenue', u'code')	2346
151	(u'of', u'management', u'and', u'budget')	2345
152	(u'all', u'functions', u'of', u'all')	2342
153	(u'the', u'case', u'may', u'be')	2322
154	(u'of', u'this', u'title', u'effective')	2319
155	(u'the', u'case', u'of', u'any')	2310
156	(u'out', u'the', u'provisions', u'of')	2305
157	(u'as', u'the', u'case', u'may')	2304
158	(u'references', u'in', u'text', u'the')	2291
159	(u'the', u'date', u'of', u'enactment')	2288
160	(u'to', u'in', u'the', u'text')	2287
161	(u'date', u'of', u'enactment', u'of')	2284
162	(u'of', u'the', u'district', u'of')	2275
163	(u'provisions', u'of', u'section', u'of')	2270
164	(u'the', u'house', u'of', u'representatives')	2251
165	(u'shall', u'not', u'apply', u'to')	2249
166	(u'the', u'united', u'states', u'for')	2249
167	(u'under', u'this', u'section', u'shall')	2246
168	(u'any', u'other', u'provision', u'of')	2243
169	(u'to', u'in', u'title', u'section')	2241
170	(u'app', u'reorg', u'plan', u'of')	2235
171	(u'date', u'of', u'amendment', u'section')	2228
172	(u'this', u'title', u'effective', u'date')	2226
173	(u'gen', u'erally', u'this', u'index')	2222
174	(u'except', u'as', u'provided', u'in')	2216
175	(u'the', u'social', u'security', u'act')	2214
176	(u'substituted', u'for', u'the', u'words')	2213
177	(u'year', u'ending', u'june', u'and')	2212
178	(u'in', u'whole', u'or', u'in')	2207
179	(u'the', u'united', u'states', u'of')	2205
180	(u'of', u'referred', u'to', u'in')	2194
181	(u'an', u'amount', u'equal', u'to')	2187
182	(u'out', u'the', u'purposes', u'of')	2184
183	(u'whole', u'or', u'in', u'part')	2183
184	(u'president', u'of', u'the', u'united')	2180
185	(u'the', u'first', u'day', u'of')	2180
186	(u'the', u'secretary', u'of', u'health')	2162
187	(u'secretary', u'of', u'the', u'army')	2146
188	(u'lb', u'ad', u'val', u'per')	2140
189	(u'the', u'amendments', u'made', u'by')	2138
190	(u'transfer', u'of', u'functions', u'all')	2131
191	(u'of', u'this', u'title', u'as')	2117
192	(u'the', u'united', u'states', u'shall')	2117
193	(u'note', u'set', u'out', u'under')	2110
194	(u'in', u'connection', u'with', u'the')	2097
195	(u'with', u'respect', u'to', u'which')	2097
196	(u'of', u'the', u'bureau', u'of')	2075
197	(u'is', u'classified', u'to', u'section')	2075
198	(u'act', u'june', u'ch', u'stat')	2056
199	(u'of', u'this', u'title', u'to')	2056
200	(u'of', u'the', u'social', u'security')	2055
201	(u'necessary', u'to', u'carry', u'out')	2052
202	(u'the', u'secretary', u'is', u'authorized')	2047
203	(u'by', u'section', u'of', u'title')	2044
204	(u'the', u'united', u'states', u'to')	2015
205	(u'of', u'amendment', u'amendment', u'of')	2012
206	(u'are', u'substituted', u'for', u'the')	2008
207	(u'the', u'approval', u'of', u'the')	1986
208	(u'to', u'the', u'extent', u'that')	1979
209	(u'purposes', u'of', u'this', u'chapter')	1972
210	(u'sec', u'tion', u'of', u'this')	1970
