Rank	4gram	NumberOfTimes
<<<<<<< HEAD
0	(u'section', u'of', u'this', u'title')	89225
1	(u'of', u'the', u'united', u'states')	55305
2	(u'under', u'section', u'of', u'this')	43017
3	(u'is', u'referred', u'to', u'in')	34909
4	(u'see', u'main', u'edition', u'for')	32065
5	(u'main', u'edition', u'for', u'text')	32020
6	(u'to', u'in', u'other', u'sections')	31606
7	(u'in', u'other', u'sections', u'this')	31407
8	(u'section', u'is', u'referred', u'to')	30292
9	(u'this', u'section', u'is', u'referred')	30223
10	(u'note', u'under', u'section', u'of')	29516
11	(u'referred', u'to', u'in', u'other')	29125
12	(u'sections', u'this', u'section', u'is')	28742
13	(u'in', u'the', u'case', u'of')	28226
14	(u'other', u'sections', u'this', u'section')	27341
15	(u'section', u'referred', u'to', u'in')	27013
16	(u'sections', u'of', u'this', u'title')	21955
17	(u'edition', u'for', u'text', u'of')	20475
18	(u'referred', u'to', u'in', u'sections')	20467
19	(u'the', u'secretary', u'of', u'the')	20074
20	(u'of', u'this', u'title', u'and')	19969
21	(u'effective', u'date', u'of', u'amendment')	19778
22	(u'of', u'this', u'title', u'section')	18313
23	(u'of', u'this', u'title', u'title')	15920
24	(u'in', u'section', u'of', u'this')	14854
25	(u'referred', u'to', u'in', u'section')	13563
26	(u'date', u'of', u'amendment', u'amendment')	12881
27	(u'for', u'purposes', u'of', u'this')	12715
28	(u'in', u'sections', u'of', u'this')	12377
29	(u'to', u'in', u'sections', u'of')	12376
30	(u'of', u'amendment', u'amendment', u'by')	12092
31	(u'the', u'provisions', u'of', u'this')	11660
32	(u'see', u'section', u'of', u'pub')	11528
33	(u'set', u'out', u'under', u'section')	11239
34	(u'referred', u'to', u'in', u'subsec')	11169
35	(u'amendment', u'amendment', u'by', u'pub')	11169
36	(u'and', u'of', u'this', u'title')	10988
37	(u'under', u'section', u'of', u'title')	10949
38	(u'set', u'out', u'as', u'an')	10787
39	(u'this', u'title', u'title', u'section')	10627
40	(u'the', u'date', u'of', u'the')	10596
41	(u'for', u'the', u'purpose', u'of')	10582
42	(u'out', u'under', u'section', u'of')	10489
43	(u'the', u'public', u'health', u'and')	10319
44	(u'title', u'the', u'public', u'health')	9979
45	(u'to', u'in', u'section', u'of')	9885
46	(u'to', u'the', u'code', u'see')	9794
47	(u'note', u'set', u'out', u'under')	9780
48	(u'with', u'respect', u'to', u'the')	9709
49	(u'public', u'health', u'and', u'welfare')	9609
50	(u'by', u'the', u'secretary', u'of')	9595
51	(u'stat', u'references', u'in', u'text')	9309
52	(u'of', u'this', u'title', u'sections')	9298
53	(u'of', u'this', u'title', u'shall')	9257
54	(u'see', u'section', u'of', u'this')	9233
55	(u'of', u'this', u'act', u'to')	9159
56	(u'act', u'to', u'the', u'code')	9104
57	(u'this', u'act', u'to', u'the')	9082
58	(u'out', u'as', u'an', u'effective')	9031
59	(u'in', u'the', u'united', u'states')	8879
60	(u'as', u'an', u'effective', u'date')	8858
61	(u'the', u'united', u'states', u'and')	8593
62	(u'secretary', u'of', u'the', u'treasury')	8466
63	(u'of', u'this', u'section', u'shall')	8378
64	(u'of', u'this', u'title', u'for')	8265
65	(u'after', u'the', u'date', u'of')	7988
66	(u'the', u'united', u'states', u'or')	7985
67	(u'the', u'amendments', u'made', u'by')	7894
68	(u'this', u'section', u'shall', u'be')	7823
69	(u'classification', u'of', u'this', u'act')	7635
70	(u'of', u'this', u'title', u'the')	7499
71	(u'for', u'complete', u'classification', u'of')	7430
72	(u'of', u'this', u'section', u'the')	7417
73	(u'sections', u'and', u'of', u'this')	7414
74	(u'title', u'section', u'title', u'section')	7397
75	(u'title', u'section', u'referred', u'to')	7291
76	(u'except', u'as', u'provided', u'in')	7264
77	(u'the', u'purposes', u'of', u'this')	7202
78	(u'to', u'the', u'secretary', u'of')	7043
79	(u'for', u'the', u'fiscal', u'year')	7042
80	(u'enactment', u'of', u'this', u'act')	6991
81	(u'with', u'respect', u'to', u'any')	6981
82	(u'complete', u'classification', u'of', u'this')	6944
83	(u'this', u'title', u'section', u'referred')	6937
84	(u'in', u'accordance', u'with', u'the')	6895
85	(u'to', u'the', u'united', u'states')	6769
86	(u'to', u'carry', u'out', u'the')	6754
87	(u'title', u'internal', u'revenue', u'code')	6690
88	(u'this', u'title', u'sections', u'of')	6636
89	(u'title', u'sections', u'of', u'this')	6633
90	(u'on', u'the', u'basis', u'of')	6406
91	(u'by', u'the', u'united', u'states')	6304
92	(u'code', u'see', u'short', u'title')	6193
93	(u'shall', u'not', u'apply', u'to')	6192
94	(u'the', u'code', u'see', u'short')	6184
95	(u'for', u'the', u'purposes', u'of')	6183
96	(u'sec', u'tion', u'of', u'this')	6149
97	(u'this', u'title', u'section', u'of')	6143
98	(u'see', u'short', u'title', u'note')	6115
99	(u'as', u'defined', u'in', u'section')	6037
100	(u'secretary', u'of', u'the', u'interior')	6013
101	(u'of', u'the', u'secretary', u'of')	5937
102	(u'section', u'of', u'this', u'appendix')	5934
103	(u'purposes', u'of', u'this', u'section')	5918
104	(u'the', u'amount', u'of', u'the')	5905
105	(u'of', u'this', u'title', u'or')	5889
106	(u'with', u're', u'spect', u'to')	5887
107	(u'title', u'note', u'set', u'out')	5881
108	(u'short', u'title', u'note', u'set')	5877
109	(u'historical', u'and', u'revision', u'notes')	5861
110	(u'the', u'district', u'of', u'columbia')	5749
111	(u'as', u'may', u'be', u'necessary')	5710
112	(u'with', u'respect', u'to', u'such')	5700
113	(u'of', u'the', u'department', u'of')	5661
114	(u'tion', u'of', u'this', u'title')	5635
115	(u'internal', u'revenue', u'code', u'of')	5634
116	(u'shall', u'be', u'treated', u'as')	5588
117	(u'of', u'the', u'enactment', u'of')	5558
118	(u'stat', u'historical', u'and', u'revision')	5503
119	(u'the', u'fiscal', u'year', u'ending')	5465
120	(u'the', u'enactment', u'of', u'this')	5445
121	(u'title', u'section', u'of', u'this')	5434
122	(u'title', u'united', u'states', u'code')	5393
123	(u'date', u'of', u'the', u'enactment')	5365
124	(u'the', u'case', u'of', u'any')	5351
125	(u'of', u'this', u'section', u'and')	5350
126	(u'any', u'other', u'provision', u'of')	5303
127	(u'referred', u'to', u'in', u'text')	5231
128	(u'per', u'centum', u'of', u'the')	5229
129	(u'at', u'the', u'time', u'of')	5184
130	(u'the', u'provisions', u'of', u'section')	5163
131	(u'references', u'in', u'text', u'the')	5133
132	(u'of', u'this', u'title', u'effective')	5089
133	(u'of', u'title', u'united', u'states')	5058
134	(u'of', u'section', u'of', u'this')	5054
135	(u'the', u'director', u'of', u'the')	5004
136	(u'to', u'the', u'provisions', u'of')	4986
137	(u'act', u'referred', u'to', u'in')	4975
138	(u'see', u'section', u'of', u'title')	4962
139	(u'edition', u'for', u'text', u'ofa')	4917
140	(u'stat', u'as', u'amended', u'which')	4862
141	(u'of', u'this', u'sec', u'tion')	4851
142	(u'title', u'government', u'organization', u'and')	4850
143	(u'this', u'title', u'effective', u'date')	4836
144	(u'the', u'social', u'security', u'act')	4745
145	(u'to', u'section', u'of', u'this')	4715
146	(u'amendments', u'made', u'by', u'this')	4691
147	(u'the', u'effective', u'date', u'of')	4662
148	(u'the', u'secretary', u'of', u'defense')	4657
149	(u'date', u'of', u'amendment', u'note')	4645
150	(u'the', u'secretary', u'of', u'transportation')	4593
151	(u'health', u'and', u'human', u'services')	4546
152	(u'the', u'internal', u'revenue', u'code')	4532
153	(u'authorized', u'to', u'be', u'appropriated')	4531
154	(u'shall', u'be', u'deemed', u'to')	4510
155	(u'with', u'the', u'provisions', u'of')	4505
156	(u'the', u'house', u'of', u'representatives')	4425
157	(u'within', u'the', u'meaning', u'of')	4419
158	(u'date', u'note', u'under', u'section')	4383
159	(u'government', u'organization', u'and', u'employees')	4382
160	(u'generally', u'post', u'this', u'heading')	4379
161	(u'date', u'of', u'amendment', u'section')	4374
162	(u'of', u'health', u'and', u'human')	4373
163	(u'of', u'the', u'social', u'security')	4371
164	(u'an', u'effective', u'date', u'of')	4367
165	(u'of', u'amendment', u'note', u'under')	4353
