Rank	4gram	NumberOfTimes
0	(u'section', u'of', u'this', u'title')	44501
1	(u'of', u'the', u'united', u'states')	32846
2	(u'under', u'section', u'of', u'this')	17964
3	(u'the', u'secretary', u'of', u'the')	15995
4	(u'note', u'under', u'section', u'of')	15487
5	(u'in', u'the', u'case', u'of')	11194
6	(u'is', u'referred', u'to', u'in')	10172
7	(u'section', u'is', u'referred', u'to')	9728
8	(u'this', u'section', u'is', u'referred')	9546
9	(u'section', u'referred', u'to', u'in')	8950
10	(u'sections', u'this', u'section', u'is')	8635
11	(u'to', u'in', u'other', u'sections')	8139
12	(u'of', u'this', u'title', u'and')	8101
13	(u'referred', u'to', u'in', u'other')	7959
14	(u'in', u'other', u'sections', u'this')	7670
15	(u'the', u'provisions', u'of', u'this')	7505
16	(u'other', u'sections', u'this', u'section')	7288
17	(u'in', u'section', u'of', u'this')	7191
18	(u'see', u'section', u'of', u'this')	6902
19	(u'secretary', u'of', u'the', u'treasury')	6644
20	(u'and', u'of', u'this', u'title')	6341
21	(u'effective', u'date', u'of', u'amendment')	6225
22	(u'for', u'the', u'purpose', u'of')	6189
23	(u'secretary', u'of', u'the', u'interior')	5997
24	(u'by', u'the', u'secretary', u'of')	5973
25	(u'the', u'district', u'of', u'columbia')	5819
26	(u'of', u'this', u'title', u'shall')	5557
27	(u'sections', u'of', u'this', u'title')	5443
28	(u'to', u'the', u'secretary', u'of')	5442
29	(u'the', u'united', u'states', u'or')	5329
30	(u'referred', u'to', u'in', u'section')	5306
31	(u'sections', u'and', u'of', u'this')	5297
32	(u'under', u'section', u'of', u'title')	5201
33	(u'the', u'united', u'states', u'and')	4910
34	(u'historical', u'and', u'revision', u'notes')	4806
35	(u'of', u'the', u'department', u'of')	4636
36	(u'stat', u'references', u'in', u'text')	4606
37	(u'the', u'purposes', u'of', u'this')	4600
38	(u'fiscal', u'year', u'ending', u'june')	4549
39	(u'date', u'of', u'amendment', u'amendment')	4509
40	(u'for', u'the', u'purposes', u'of')	4474
41	(u'ad', u'val', u'ad', u'val')	4450
42	(u'referred', u'to', u'in', u'sections')	4367
43	(u'stat', u'historical', u'and', u'revision')	4366
44	(u'with', u'respect', u'to', u'the')	4359
45	(u'of', u'this', u'title', u'the')	4329
46	(u'of', u'health', u'education', u'and')	4310
47	(u'for', u'the', u'fiscal', u'year')	4304
48	(u'the', u'fiscal', u'year', u'ending')	4214
49	(u'of', u'the', u'secretary', u'of')	4208
50	(u'health', u'education', u'and', u'welfare')	4174
51	(u'to', u'in', u'section', u'of')	4152
52	(u'see', u'section', u'of', u'pub')	4141
53	(u'in', u'accordance', u'with', u'the')	4065
54	(u'in', u'the', u'united', u'states')	4015
55	(u'by', u'the', u'united', u'states')	3960
56	(u'the', u'provisions', u'of', u'section')	3873
